case_id,category,mutation,expected_code,description,observed_codes,oracle_pass
A00,positive,valid_source_resolved,PASS,Valid S1-A source-resolved slot with separate w and v,PASS,PASS
A01,S1,old_generic_spill,FAIL_S1_SOURCE_RESOLUTION,Old R1 generic spill semantics must be rejected,FAIL_S1_SOURCE_RESOLUTION,PASS
A02,S1,w_gt_q,FAIL_S1_BOUNDS,Paid-unused normal energy cannot exceed commitment,FAIL_PHYSICS;FAIL_S1_BOUNDS;FAIL_S1_EVIDENCE,PASS
A03,S1,v_gt_pv,FAIL_S1_BOUNDS,PV curtailment cannot exceed PV availability,FAIL_PHYSICS;FAIL_S1_BOUNDS;FAIL_S1_EVIDENCE,PASS
A04,S1,w_relabel_pv,FAIL_S1_LABEL,w must not be relabeled as PV curtailment,FAIL_S1_LABEL,PASS
A05,accounting,normal_cost_received,FAIL_ACCOUNTING,Normal billing must use full q_DA not q_DA-w,FAIL_ACCOUNTING,PASS
A06,accounting,emergency_multiplier_1x,FAIL_ACCOUNTING,Emergency purchase must be billed at 5x slot tariff,FAIL_ACCOUNTING,PASS
A07,commitment,q_mutated_after_0000,FAIL_COMMITMENT,q_DA is immutable after 00:00,FAIL_ACCOUNTING;FAIL_COMMITMENT,PASS
A08,causality,future_actual_known_at,FAIL_LEAKAGE,Future actual cannot enter current decision,FAIL_LEAKAGE,PASS
A09,price,dynamic_price_in_q2,FAIL_PRICE_SOURCE,Q2 must use Attachment1 fixed repeated tariff,FAIL_PRICE_SOURCE,PASS
A10,policy,emergency_and_charge,FAIL_EMERGENCY_CHARGING,Emergency purchase cannot be used while charging under Q2 policy,FAIL_ACCOUNTING;FAIL_EMERGENCY_CHARGING,PASS
A11,physics,simultaneous_charge_discharge,FAIL_PHYSICS,Simultaneous charge and discharge is forbidden for executed action,FAIL_BASELINE;FAIL_PHYSICS,PASS
A12,physics,soc_below_bound,FAIL_PHYSICS,Full SOC path must respect lower bound,FAIL_PHYSICS,PASS
A13,dynamic,daily_soc_reset,FAIL_CROSS_DAY_SOC,Formal run cannot reset SOC at day boundary,FAIL_CROSS_DAY_SOC,PASS
A14,terminal,t1_mismatch_marked_pass,FAIL_TERMINAL,T1 terminal mismatch cannot be reported as PASS,FAIL_TERMINAL,PASS
A15,risk,alpha_change_no_replan,FAIL_RISK_PROTOCOL,Changing risk alpha requires full replan and replay,FAIL_RISK_PROTOCOL,PASS
A16,baseline,fixed_action_amplified,FAIL_BASELINE,Fixed-storage baseline safety override cannot amplify the planned action,FAIL_BASELINE,PASS
A17,evidence,missing_delayed_actual_sensitivity,FAIL_EVIDENCE,ONE_SLOT_DELAYED_ACTUAL counterfactual plan is required before Freeze,FAIL_EVIDENCE,PASS
A18,evidence,missing_w_audit,FAIL_S1_EVIDENCE,S1-A must report paid-unused normal-energy evidence,FAIL_S1_EVIDENCE,PASS
A19,evidence,total_spill_only,FAIL_S1_EVIDENCE,u_total cannot replace separate w and v evidence,FAIL_S1_EVIDENCE,PASS
A20,mapping,wrong_time_mapping,FAIL_MAPPING,Writer must use frozen right-endpoint ordinal mapping,FAIL_MAPPING,PASS
A21,positive,valid_utotal_compat,PASS,u_total=w+v is allowed only as a compatibility summary beside source-resolved fields,PASS,PASS
A22,accounting,total_cost_adds_w_again,FAIL_ACCOUNTING,w evidence cost is diagnostic subset of p*q and must not be added again to total cost,FAIL_ACCOUNTING,PASS
